n,cap,estimator,replication,cost,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9
16,3,multilevel,32,70,0.016982397952059188,-0.0010581546565322794,0.0046891264069975555,-0.012567088008424687,-0.020340686314486225,-0.00010127098537139395,0.013354788571621944,0.012010752876160598,-0.0013236209096836463,-0.0015668564276078683
16,3,plugin,33,80,0.0012893465298979994,0.0012297821431739716,3.338754329506025e-05,-0.0024534349856135517,0.00023789598219258682,0.002072604379035199,0.0018054859746488754,-0.0015728365847935437,3.22025401086616e-05,0.0005176005666393891
16,3,multilevel,33,82,-0.008738814438708617,-0.0037134216501403094,0.005357418613702641,0.0011459204661152253,-0.00784473896876018,0.009675762717743244,0.00035352661258575063,0.005816639161269209,-0.00039092188861677046,-0.002300523929852354
16,3,plugin,34,80,0.00046855319398896836,3.1558134676104495e-05,0.0011931178145755158,-0.000833081077309612,-0.0009113022399512449,-0.00034243438137889875,0.0005514338533157656,0.00013935472824355932,1.0760230192875815e-05,4.602445221392804e-05
16,3,multilevel,34,62,0.05314454088184235,-0.008279011156594006,-0.005972047555092115,0.017892323469443215,-0.012401010442195787,-0.03167928018682061,0.007897442236463874,-0.002876001545802016,0.0003391964411939735,-0.005128389269234073
16,3,plugin,35,80,0.002696998760201998,-0.00034384544811618415,0.0030350647541957493,-0.002013192219890361,-0.0011498366928992705,-0.00016924669620806013,1.494664374964566e-05,-0.0005599089974761467,4.4238371157797665e-05,9.66895499192268e-05
16,3,multilevel,35,86,-0.03102064673620816,0.0011477437719996987,0.014867407116400881,-0.05076151537609254,-0.038458707709288865,-0.03896387143961465,0.03180093793754156,0.000389175759589255,0.0005129325091442272,-0.0005484922826909216
16,3,plugin,36,80,-0.005040121738899125,-0.0006113174107820582,0.0013273415094304398,-0.0009248594784655847,-0.0029714834503174587,-0.0010972148058341746,0.0002660737439858862,-0.0002811190304014295,-2.139037472783953e-05,-0.0005535929327000871
16,3,multilevel,36,62,0.002462793513215343,-0.018058519533414887,-0.02696346860357017,-0.021088820521153663,-0.011602197821699588,0.0030425713603417625,0.010375992561970778,-0.01691871480283299,-0.00020044043607805523,-0.009854819308849667
16,3,plugin,37,80,0.0016632726244871143,0.0008785970630798704,0.0013530954601218299,-0.001952311045223944,-4.522918694699927e-05,0.0008548025347625653,0.0006774858240318339,-0.0011063172946628155,6.396972271004468e-05,0.0003086757714887065
16,3,multilevel,37,80,-0.00411105428760676,-0.001359348897232393,-0.024921156082019294,0.004960790901603392,0.007234118861817722,-0.030522425567336864,0.0015657152916814414,0.004962528426051282,-0.00019505939575407155,-0.0027176717009733
16,3,plugin,38,80,-0.0019642346533967365,-0.001178987735265671,0.00043577435628642733,-0.0008585243939979232,-0.0006355379692185493,0.0008462401252562353,0.0015366679266587968,0.0006551215817021601,-1.0813182466069951e-05,0.0004373300511599725
16,3,multilevel,38,64,-0.009085186445812098,0.0037767674792413535,0.0013271899427401354,-0.005024680928314134,-0.00505353675718237,-0.0014473651698701363,0.0017630118536959205,0.0016360483735594607,8.179610524785801e-05,-0.0003907021397877644
16,3,plugin,39,80,-0.00012581023794313003,-8.574567594323758e-05,0.0004723170225938361,-0.0003945070143903834,-6.358782015841461e-05,0.0002978037842890149,0.0008330259501700474,-0.0006541910373775069,-6.04165731116221e-07,0.00012105252530188019
16,3,multilevel,39,78,0.02338368150380111,-0.003394836232837199,-0.02059255896258013,0.0028802365157515916,0.010537626509582362,-0.0030812995095408882,0.003096932906592184,0.0084204911843193,0.00026735884389711444,0.0024110470184688666
16,3,plugin,40,80,0.004913626283067139,-0.00027556210242346964,0.00030004861168161413,-0.0001053889734424905,-0.001193404411880472,0.0007310854029790747,0.001601407128278582,-0.0002981736882841351,2.9205875547007317e-05,0.00024570546340101285
16,3,multilevel,40,76,0.0698782607173107,-0.010926891063527492,-0.010620805665253037,0.046222002328824785,0.033900608583950824,0.019221836645179985,-0.05012453522967129,0.020376631466620984,-0.0007638844545286626,-0.004661626753462944
16,3,plugin,41,80,-0.0002791733506696542,-0.0007213440391222199,0.0017667314324004441,-0.0008546537181172798,-0.00024816128194708677,0.00038553420356921583,-0.0004862358306130891,-0.00042628905422578353,-4.015183819035131e-05,-3.280947597508517e-05
16,3,multilevel,41,134,-0.013879854309472712,-3.173004752281783e-05,-0.03757213127038017,-0.016290280329253292,0.011367097826891768,0.0007879200413538263,0.009047270472860287,-0.010819152861826378,0.0007616708089683943,-0.006819616395468241
16,3,plugin,42,80,-0.0005934861403317693,0.00010604283968703479,0.0009618820146521195,-0.0008579342523670649,0.0007508680364201353,0.0007470846854534207,0.0006459517438656972,-0.0015329396242303214,-4.002759477614419e-06,0.00015994658860225835
16,3,multilevel,42,72,-0.012936324849753596,0.0006936053611783582,0.0036247131326914866,-0.0007760316686626074,-0.006789136072312036,-0.0011086325642160391,0.006653044769678002,-0.014893356046009117,7.520605951866847e-05,0.002887991070988289
16,3,plugin,43,80,0.0012029634323095632,-0.00018077765129356172,-0.00010941909084461417,-3.455134727023515e-05,0.0007224609111040573,-2.535966046899262e-05,0.00012139158835831459,-0.00025927580205251067,1.9191487711149813e-05,4.0289883278814714e-05
16,3,multilevel,43,60,0.023766934530707672,-0.0017898056129183773,-0.018166626427364062,0.05392671553121013,-0.015883447187577296,-0.0029352100801185795,-0.011451224663755965,-0.015419960243987294,-0.00031272559438588315,0.007407281102468573
16,3,plugin,44,80,-0.0014843309237508745,-0.00027511962119293096,0.0002681612784518375,0.0007907032110573563,-0.00039609738405583784,-0.0003266867975951404,0.0005075120763107812,5.193221359125892e-05,1.1847968300528525e-05,0.0002830945244260551
16,3,multilevel,44,86,-0.015874194151564547,0.009264771613806603,-0.007217410210543408,0.0009693381390902541,-0.016246984801421085,-0.012646592220433362,0.007675974775815826,-0.020537090937891096,-0.0008465645778194066,-0.00028936348621235315
16,3,plugin,45,80,-0.0013923300529640457,0.0002868789143105018,0.003104558050964072,-0.00025434754541041224,-0.0009031043205317718,0.0013873315204247763,0.0005504729836746007,-0.0009496036021499189,4.601631823786791e-05,-0.0003576701332494108
16,3,multilevel,45,92,0.008466514682270054,0.00011749202732020696,-0.010119728162311954,0.003384989595937458,-0.0003626433428422205,-6.388455284009543e-05,-0.004093514644043632,-0.0008064237986553411,5.020678689551362e-05,0.0006780689366726796
16,3,plugin,46,80,0.0008812113452301312,0.000515829378648927,0.0016695906039024405,0.00039551955561328134,0.0010171752468473368,0.000610165714252199,-0.0026356127515700673,0.002965585562043181,-9.238169719863297e-05,0.0005033180481669633
16,3,multilevel,46,86,-0.09672510239612629,0.0032733061769587434,0.00781934051142037,-0.02556819795063535,0.05326364500028904,0.042387090746185935,-0.028307209946618103,-0.004605576016590737,-0.0005827746429032555,-0.0005290171199764873
16,3,plugin,47,80,0.0014695849644423729,-0.0010944418317576662,0.002471403980618796,-0.0022456333766806263,-0.0015678263120999934,-0.00013566340217430168,0.0012282154390627071,-0.001726113622837567,4.302249991066292e-05,-0.00011265096025973842
16,3,multilevel,47,56,-0.03742347854888387,-0.002718953281672864,-0.002915823633129279,-0.0031042540741051884,0.0067844339648994376,-0.004647335611780836,-0.008803702282810747,0.013002488240821227,-0.00048211268209753463,0.0010121199038394674
16,3,plugin,48,80,0.002414169916494758,0.00020270835955484378,-0.00038776262391892634,-0.00027821630399288996,0.00032759499568464905,0.0006142127368236629,-0.0014169518995570797,0.00040751787432881387,3.995170330789847e-05,0.0002348044934108745
16,3,multilevel,48,72,0.015614221169904676,0.008171361092834624,-0.0031747842264698337,-0.011467928005187603,-0.005137705387232011,-0.0016025164537195541,0.0008521355970791014,0.022403275536822396,0.0001479853075371227,0.012578611511393238
16,3,plugin,49,80,0.004176556389913997,-0.00023556784129765315,-0.0007646430384206632,0.00216624946347756,-0.0006119197016798294,-0.0017747514922404227,-0.0003299441028970328,0.0013756016688462483,-2.5696700379265905e-05,0.00019092048071667049
16,3,multilevel,49,78,-0.02957983649689406,-0.0009651182653912208,-0.019809250060431976,0.015774144393812323,0.006084314571357485,-0.0005189287946816224,0.0005925214801966585,-0.0031175980787291383,-0.0002486231885379091,0.0027945923967981306
16,3,plugin,50,80,-0.0023328380965585444,0.0003094293210146326,-0.0008181822760642238,-0.0023419897235496395,-0.00019866832579473276,-0.00044689436184185144,0.0014028441143804874,-0.0010554091981545889,-6.324907459054369e-06,-0.00010507600809592155
