eta_gain,eta_loss,reference_gap
0.3,0.2,0.11199999999999988
0.3,0.22,0.11480000000000001
0.3,0.24,0.11759999999999993
0.3,0.26,0.12039999999999984
0.3,0.28,0.12319999999999998
0.3,0.3,0.1259999999999999
0.3,0.32,0.1287999999999998
0.3,0.34,0.13159999999999994
0.3,0.36,0.13439999999999985
0.3,0.38,0.1372
0.3,0.4,0.1399999999999999
0.3,0.42,0.14279999999999982
0.3,0.44,0.14559999999999995
0.3,0.46,0.14839999999999987
0.3,0.48,0.1511999999999999
0.3,0.5,0.15399999999999991
0.3,0.52,0.15679999999999994
0.3,0.54,0.15959999999999996
0.3,0.56,0.16239999999999988
0.3,0.58,0.1651999999999999
0.3,0.6,0.16799999999999993
0.3,0.62,0.17079999999999995
0.3,0.64,0.17359999999999998
0.3,0.66,0.1763999999999999
0.3,0.68,0.17919999999999991
0.3,0.7000000000000001,0.18199999999999994
0.3,0.72,0.18479999999999985
0.3,0.74,0.18759999999999988
0.3,0.76,0.1903999999999999
0.3,0.78,0.19319999999999982
0.3,0.8,0.19599999999999984
0.32,0.0,0.08703999999999978
0.32,0.02,0.08975999999999984
0.32,0.04,0.0924799999999999
0.32,0.06,0.09519999999999995
0.32,0.08,0.09791999999999978
0.32,0.1,0.10063999999999984
0.32,0.12,0.1033599999999999
0.32,0.14,0.10607999999999995
0.32,0.16,0.10879999999999979
0.32,0.18,0.11151999999999984
0.32,0.2,0.1142399999999999
0.32,0.22,0.11695999999999995
0.32,0.24,0.11967999999999979
0.32,0.26,0.12239999999999984
0.32,0.28,0.1251199999999999
0.32,0.3,0.12783999999999973
0.32,0.32,0.1305599999999998
0.32,0.34,0.13327999999999984
0.32,0.36,0.1359999999999999
0.32,0.38,0.13871999999999973
0.32,0.4,0.1414399999999998
0.32,0.42,0.14415999999999984
0.32,0.44,0.1468799999999999
0.32,0.46,0.14959999999999973
0.32,0.48,0.1523199999999998
0.32,0.5,0.15503999999999984
0.32,0.52,0.1577599999999999
0.32,0.54,0.16047999999999984
0.32,0.56,0.1631999999999998
0.32,0.58,0.16591999999999985
0.32,0.6,0.1686399999999999
0.32,0.62,0.17135999999999985
0.32,0.64,0.1740799999999999
0.32,0.66,0.17679999999999985
0.32,0.68,0.1795199999999999
0.32,0.7000000000000001,0.18223999999999985
0.32,0.72,0.1849599999999998
0.32,0.74,0.18767999999999985
0.32,0.76,0.1903999999999998
0.32,0.78,0.19311999999999974
0.32,0.8,0.1958399999999998
0.34,0.0,0.08975999999999984
0.34,0.02,0.09239999999999982
0.34,0.04,0.09504000000000001
0.34,0.06,0.09767999999999999
0.34,0.08,0.10031999999999996
0.34,0.1,0.10295999999999994
0.34,0.12,0.10559999999999992
0.34,0.14,0.10823999999999989
0.34,0.16,0.11087999999999987
0.34,0.18,0.11351999999999984
0.34,0.2,0.11616000000000004
0.34,0.22,0.11880000000000002
0.34,0.24,0.12143999999999999
0.34,0.26,0.12407999999999997
0.34,0.28,0.12671999999999994
0.34,0.3,0.12935999999999992
0.34,0.32,0.1319999999999999
0.34,0.34,0.13463999999999987
0.34,0.36,0.13727999999999985
0.34,0.38,0.13991999999999982
0.34,0.4,0.1425599999999998
0.34,0.42,0.14519999999999977
0.34,0.44,0.14783999999999997
0.34,0.46,0.15047999999999995
0.34,0.48,0.15311999999999992
0.34,0.5,0.1557599999999999
0.34,0.52,0.15839999999999987
0.34,0.54,0.16103999999999985
0.34,0.56,0.16367999999999994
0.34,0.58,0.1663199999999999
0.34,0.6,0.1689599999999999
0.34,0.62,0.17159999999999986
0.34,0.64,0.17423999999999995
0.34,0.66,0.17687999999999993
0.34,0.68,0.1795199999999999
0.34,0.7000000000000001,0.18215999999999988
0.34,0.72,0.18479999999999985
0.34,0.74,0.18743999999999983
0.34,0.76,0.1900799999999998
0.34,0.78,0.1927199999999999
0.34,0.8,0.19535999999999987
0.36,0.0,0.0921599999999998
0.36,0.02,0.09471999999999992
0.36,0.04,0.09727999999999981
0.36,0.06,0.09983999999999993
0.36,0.08,0.10239999999999982
0.36,0.1,0.10495999999999994
