Z_db,raw_trajectory_cost
0.027756584475628655,3
0.0030553009758305678,3
0.048265020044152472,3
0.49802674408406156,3
0.038746933875902188,5
0.014084643175001956,3
0.027847420905921242,3
0.29095642922153231,3
-0.00065186349925155809,3
0.0030536367617523897,3
0.00040937412925922241,3
-0.097552088188287991,5
0.038527722698212058,3
0.021076030879377029,5
0.11833794316284925,3
0.01903018319454533,3
0.042944621470724399,3
-0.025790813672183072,3
0.030627702256308328,3
1.7879623701509602,3
0.2131770329776094,3
0.022082554183564716,3
0.015696710455267208,3
-0.17736727306283256,5
-1.8148445744610189,9
0.065018127574470119,5
0.19225032719091176,3
0.013142190768257846,5
-0.12849916749765383,5
0.060986577343570977,3
-0.032745812871836151,5
-0.01899128413712203,3
0.034498086973857305,3
0.0065488863290606271,5
0.11769247263294198,3
0.02122543383193622,3
0.020434490901665887,3
0.1370783375646023,3
0.016432202315613046,3
0.088337768199785976,3
-0.10797634810670835,5
0.085236867960858415,3
0.045344533867498989,17
0.17026406632996233,3
0.1061669560389415,5
0.018209684123566695,3
0.03756311937472448,5
0.0070396518292643213,3
0.038228788146500242,9
-0.63838718759245261,5
0.17867264192212637,9
0.047685604188259671,17
-0.019713248171979825,3
0.97828073367480428,3
0.062506500933368569,5
0.60928970999438625,3
0.43498252709226648,3
0.0059020192944913936,3
-0.079521703493175236,3
-0.080036249885979988,9
-0.0051187859624850134,9
0.008072758697607119,3
0.053995942634823532,5
-0.0091254373881241128,3
0.050742221159843913,9
0.017503425144062983,3
0.0055666203695036443,5
0.4055182680184935,3
0.010866708448444248,3
0.13630487661394219,3
0.027503757664641724,3
0.023473936999345569,3
0.035851800846239713,3
0.037003561426855062,33
0.020785722377716156,3
0.094487810261478386,3
0.044850008338013489,9
0.033003908409991858,9
0.13639256560468346,3
0.0073274396519978332,3
-0.0058100729015911111,3
0.16535406330907554,3
7.8603379081401299e-05,3
0.022922504596699214,3
0.023198634881164353,3
-0.00092685626389885935,3
0.012089016986302086,3
0.05033292929581145,17
0.06773764444550795,33
0.05034259585986614,9
0.059980095896361836,3
0.055546304390089306,3
-0.015892799271168247,3
0.022222914031214253,3
0.023671792766471272,3
-0.0095516643364528843,33
1.7175486919430407,3
0.025147061371606001,3
0.053467164604575471,3
0.085423868950671972,3
-0.003328752344077725,5
0.012056180760157914,9
0.0022056318946826318,3
-0.0034873451625518866,3
0.17441013702493471,3
0.024584124715472465,3
-0.01020914436783835,3
-0.22593153456452697,5
-0.060834360856987964,5
