level,n,T_fine,Delta
1,4,0.09419645160303196,-0.0062030758009038595
1,4,-0.001880686167559522,-0.0030303706652914176
1,4,0.00788297265295136,0.03878105074480359
1,4,-0.008224825678247671,0.0005401191987656623
1,4,0.011079268987676872,0.010052901078106552
1,4,0.3704782458707965,-0.03312815724470064
1,4,0.8411956044830957,-0.19081642730998816
1,4,0.40596283410529455,-0.022014346913869387
1,4,-0.0024656770748917862,0.00209251772950864
1,4,0.025693718604461166,0.030184812232065848
1,4,0.013970256523895497,0.0025451264385307586
1,4,-0.0015211441391412184,0.0008326675456321827
1,4,0.016492880700461166,0.006997767501517838
1,4,0.024347320872943307,0.0019414622291854325
1,4,0.172923617259365,-0.07539725444583298
1,4,-0.005231697472319665,0.000810766873491132
1,4,0.02307382763531135,0.047556084774712494
1,4,0.1470955443684915,-0.028616347579740825
1,4,0.00924251036929597,0.011382064178143157
1,4,0.010860823022448578,0.007619794625576559
1,4,0.025151450342472906,0.002323269820465601
1,4,0.015024710854628701,0.025849027629772627
1,4,0.01150067835918806,0.004364151970072717
1,4,0.035771072733004505,0.01784033478875712
1,4,0.031952316883714096,-0.05643012323984657
1,4,0.07327320836472566,-0.0034592950444764237
1,4,0.03163924876956631,0.010033334115425521
1,4,0.013221843507267801,0.008605580064530334
1,4,0.0432125448329771,0.005846394306900052
1,4,0.16861778959247084,-0.05466096639878973
1,4,-0.009368243912945034,0.0032380232900246168
1,4,0.026051937199374594,0.01767099537815773
1,4,0.05369575358923809,0.04842418559515371
1,4,0.032176093396904935,0.001332890530715107
1,4,0.020019323018445688,0.0004989121106635797
1,4,0.002531690557797021,-0.0003781635269481604
1,4,0.2979359866221368,-0.03147666083529427
1,4,0.009670832449835513,0.002972573175280477
1,4,0.022932378305399296,0.003781513039405774
1,4,0.006010696470902129,0.004276849919700202
1,4,0.0449195843614815,0.03568708769583095
1,4,0.018887391636606243,0.010412936400013116
1,4,0.025177409012713908,0.018167436445657287
1,4,0.0056116765235829915,-0.007805666325697637
1,4,0.07014689267036653,0.06813058926446855
1,4,0.015840922008107338,0.0006343237833954379
1,4,0.05210069446733551,0.011617305544660603
1,4,0.00908619357771946,0.04173911289055093
1,4,0.03878410245351209,0.0078893822606673
1,4,2.4137308673535143e-05,2.8848275385719313e-05
1,4,0.010910876389751242,0.004068637332860743
1,4,0.625401130888527,-0.034971223997462664
1,4,0.008655910137070419,0.02780112661090655
1,4,0.008499864941981872,-0.010896199443944326
1,4,-0.0007210761696495151,0.00311888897060534
1,4,0.01003928318664813,0.00620988249528423
1,4,0.008684992637223216,0.01976099961133783
1,4,0.039589051980005466,0.04837579441862621
1,4,0.004502467847973236,0.0037025426201253084
1,4,0.02097862837108015,0.004619121729070797
1,4,0.032062715100482225,0.021607806041175612
1,4,0.005987625475376844,0.0016466841954876094
1,4,0.028574619585614556,0.0010539721424213007
1,4,-0.001006756490430298,-0.0004537632578204444
1,4,0.049667675200978374,0.02809696370801923
1,4,0.06009888130208844,0.030782031439054267
1,4,0.014248233422082871,0.008430952405981712
1,4,0.007882754320644255,0.023138347029924313
1,4,0.02984312601455413,0.013971086880831186
1,4,-0.09259262459109789,0.0014907241866364968
1,4,0.041829089234757644,0.016711271404526537
1,4,0.008476341737177052,0.00016706725755726536
1,4,0.007382750571884819,0.0035620210783345626
1,4,0.0007877254671370595,-0.0002505525125999807
1,4,0.007869876316993192,0.008326734054037645
1,4,0.01634405497286031,0.010131815925506922
1,4,0.026685382074782046,0.011813532133539424
1,4,0.020894696383989813,0.0034308032312038404
1,4,-0.006342673319191963,-0.013416858083413039
1,4,0.07500731815636119,-0.025519949325842728
1,4,0.0017574671052499517,0.003180906490911563
1,4,-0.004499119524076942,0.004092930528312214
1,4,0.05090320068739018,0.018344508303888313
1,4,0.006998422758559254,0.005966916634328113
1,4,0.0016986560364632157,0.002486020809874966
1,4,0.011961874016921427,0.0037266676252135974
