user_id,PGR,PLR,disposition,transnum,stknum,num_posts,lag_pos,lag_neg,lag_neu,lag_num_posts,guanzhu,fans,status_count,stocks_count,following_count,e6_pgr,e6_plr,e6_disposition,e6_reduce_rate,e6_opportunity_count,gain_opportunities,loss_opportunities,sentiment_balance,activity_rank,diversification_rank,reference_rank,base_adoption,loss_aversion,cluster,agent_type,type_prevalence
020812,0.4444444444444444,0.0,0.4444444444444444,0.0,2.6666666666666665,3506.3333333333335,79.5,40.0,11.5,3750.0,22,1,8,29,0,0.7839959524742133,0.494014757172652,0.2899811953015613,0.6298567104789722,5,3.0,2.0,0.29924242424242425,0.06391841424877909,0.647515081873025,0.758259120942258,0.6298567104789722,2.159924781206245,2,Disposition-effect investors,0.28669922436081585
020864,1.0,0.0,1.0,2.0,0.6666666666666666,55234.0,,,,,449,262,4,343,0,0.7634241384241383,0.5175392694189688,0.24588486900516948,0.6248371709988321,2,1.0,1.0,,0.7249353634013215,0.005458201666187877,0.6508187302499282,0.6248371709988321,1.983539476020678,1,Low-frequency diversified investors,0.024992818155702385
020995,0.3686666666666667,0.34,0.02866666666666667,0.72,2.8666666666666667,27970.36,527.0833333333334,302.7083333333333,93.79166666666667,28226.541666666668,221,25,35,62,0,0.5560620143953476,0.507222052113693,0.04883996228165466,0.5079406144890883,74,43.0,31.0,0.24267688147814337,0.39528871014076417,0.6845733984487217,0.10399310542947429,0.5079406144890883,1.1953598491266186,3,Active diversified investors,0.19419706980752657
021027,0.5,0.5,0.0,1.0,0.75,2378.5,46.333333333333336,29.333333333333332,11.333333333333334,2625.0,41,1,121,4,0,0.7741775866775865,0.5594923764260149,0.2146852102515716,0.6698567104789723,5,2.0,3.0,0.19318181818181823,0.4860672220626257,0.009910945130709566,0.5475438092502155,0.6698567104789723,1.8587408410062864,0,Moderate-frequency focused investors,0.4941108876759552
021050,0.5075000000000001,0.7416666666666667,-0.2341666666666667,7.4,2.2333333333333334,2027.675,45.58974358974359,18.025641025641026,5.82051282051282,2029.6410256410256,29,0,16,5,0,0.7031338771203636,0.6429813850866483,0.06015249203371531,0.6718501233470437,124,54.0,70.0,0.391336002912268,0.9752944556162022,0.5384946854352197,0.11749497270899167,0.6718501233470437,1.2406099681348612,0,Moderate-frequency focused investors,0.4941108876759552
021197,0.5952380952380952,0.30634920634920637,0.28888888888888886,1.1428571428571428,2.9523809523809526,1040.5714285714287,23.4,9.15,2.6,1079.25,21,47,35,183,0,0.8091895086575938,0.5268298952509479,0.28235961340664584,0.663415612333004,58,27.0,31.0,0.3941908713692946,0.5336110313128412,0.7015225509910945,0.7454754380925022,0.663415612333004,2.1294384536265833,2,Disposition-effect investors,0.28669922436081585
021311,0.0,0.8333333333333334,-0.8333333333333334,0.0,2.0,1209.3333333333333,36.5,10.5,3.5,1521.5,14,3,57,56,0,0.7515953453453453,0.6347329863119338,0.11686235903341158,0.7098567104789723,5,0.0,5.0,0.5048543689320388,0.06391841424877909,0.4692617064062051,0.2311117494972709,0.7098567104789723,1.4674494361336463,0,Moderate-frequency focused investors,0.4941108876759552
021344,0.4583333333333333,0.3333333333333333,0.125,0.0,1.5833333333333333,6399.916666666667,138.45454545454547,54.36363636363637,21.0,6523.0,55,4,14,60,0,0.7429647389324808,0.5414643835696468,0.20150035536283406,0.6306004036812343,24,11.0,13.0,0.3914515446466356,0.06391841424877909,0.3201666187877047,0.5035909221488079,0.6306004036812343,1.8060014214513362,0,Moderate-frequency focused investors,0.4941108876759552
021346,0.3480392156862745,0.7483660130718954,-0.40032679738562094,5.627450980392157,1.4967320261437909,1371.9607843137255,35.72,7.86,2.54,1390.18,17,1,2,5,0,0.6147415272415272,0.8154673738755895,-0.20072584663406234,0.7329274072876841,112,50.0,62.0,0.5912563667232598,0.9525998276357368,0.2806664751508187,0.0017236426314277506,0.7329274072876841,1.0,0,Moderate-frequency focused investors,0.4941108876759552
021353,0.7083333333333333,0.08928571428571429,0.619047619047619,1.0714285714285714,2.5476190476190474,3569.5,64.62962962962963,35.74074074074074,11.37037037037037,3389.3703703703704,34,154,1055,134,0,0.7823983073983074,0.4373036664058336,0.3450946409924738,0.6484988081445552,49,35.0,14.0,0.25624178712220763,0.5143636885952313,0.626400459638035,0.849755817293881,0.6484988081445552,2.380378563969895,2,Disposition-effect investors,0.28669922436081585
021394,0.5333333333333333,0.5333333333333333,0.0,4.6,1.7333333333333334,4133.933333333333,80.35714285714286,36.857142857142854,17.142857142857142,4072.5714285714284,42,8,198,269,0,0.8229312645979312,0.8425573216861783,-0.01962605708824705,0.8764628646021,63,25.0,38.0,0.3213720316622692,0.9276070094800345,0.37359954036196497,0.03964378052283826,0.8764628646021,1.0,0,Moderate-frequency focused investors,0.4941108876759552
021426,0.3154761904761905,0.39285714285714285,-0.0773809523809524,0.7142857142857143,1.3452380952380951,22539.571428571428,463.14814814814815,246.25925925925927,55.925925925925924,21727.962962962964,15,1,2,1,0,0.6746066718892806,0.5748516590621854,0.0997550128270952,0.6161467290418916,51,26.0,25.0,0.2830216035957663,0.39184142487790863,0.2301062912956047,0.19276070094800346,0.6161467290418916,1.3990200513083808,3,Active diversified investors,0.19419706980752657
021431,0.6476190476190476,0.6666666666666666,-0.019047619047619053,0.0,10.0,1280.3333333333333,20.0,7.5,2.0,987.0,9,1,4,31,0,0.8244678502031443,0.6487817176076286,0.1756861325955157,0.7936604440493576,20,14.0,6.0,0.4098360655737705,0.06391841424877909,0.9893708704395289,0.40361964952599827,0.7936604440493576,1.7027445303820627,0,Moderate-frequency focused investors,0.4941108876759552
021446,0.38461538461538464,0.5,-0.11538461538461539,0.46153846153846156,1.1538461538461537,2448.153846153846,54.5,20.0,9.166666666666666,2467.25,23,1,0,48,0,0.741922478033589,0.4602030404341059,0.2817194375994831,0.5363837033744647,28,7.0,21.0,0.4074803149606299,0.2872737719046251,0.15383510485492674,0.7443263430048837,0.5363837033744647,2.1268777503979326,2,Disposition-effect investors,0.28669922436081585
