reference,bootstrap,log_loss,brier,calibration_intercept,calibration_slope,observed_rate,predicted_rate,auroc,auprc
symmetric,22,0.5901580310216747,0.19169679697801137,0.5488472950026405,0.11074480308208774,0.5988395497008648,0.5672679018593054,0.7705689896387873,0.7998604333251894
asymmetric,22,0.5899736397347689,0.1916006121017321,0.5487005704350443,0.1107120948580087,0.5988395497008648,0.567294616117588,0.7708654368964277,0.8003415884409282
none,23,0.5976492051971205,0.19448067615363257,0.5471178224356263,0.11129451897046413,0.597989315610146,0.5683495542695123,0.7622599161683304,0.790396473316
static,23,0.573746748386151,0.18556263800931846,0.543950697372845,0.11583975215260685,0.597989315610146,0.5696676945470617,0.7821590610712477,0.8070746125077334
symmetric,23,0.5722963303269777,0.1850028796377335,0.543896458606489,0.11617633712369652,0.597989315610146,0.569444680544494,0.7834609992668329,0.8082387502504822
asymmetric,23,0.57183763450875,0.18481421308052998,0.5437570503072381,0.1162185182740186,0.597989315610146,0.5693967662571104,0.7839420099405083,0.8088059720700269
none,24,0.6029495789290082,0.19718681217887146,0.5533258428693185,0.1157579932804425,0.5990765077786461,0.5599465767865369,0.7587934798468319,0.7888126259082304
static,24,0.5815261044300358,0.1887087011853435,0.5502954632817084,0.1192166116440776,0.5990765077786461,0.5615305195173534,0.7781793409132278,0.8051795861869976
symmetric,24,0.5796503348454346,0.18803252483715488,0.5501869471292747,0.11972594378865103,0.5990765077786461,0.5613680077702169,0.7797065784538898,0.8067198247219263
asymmetric,24,0.5789518564314929,0.1877528931371759,0.5499881200454322,0.11982739858601821,0.5990765077786461,0.5614131139107623,0.7803072605277076,0.8074761858888635
none,25,0.5973697986625969,0.192712001380435,0.5536741451826798,0.10911083144777464,0.6043966918781367,0.5688836038643154,0.7644859452299791,0.7933853544099291
static,25,0.571684862856152,0.18362396599444114,0.5498391472164638,0.11464424289350844,0.6043966918781367,0.5704134265733921,0.7851195234874211,0.8118642200918892
symmetric,25,0.5700790226072107,0.18303544336682817,0.549613226952759,0.11507931109937788,0.6043966918781367,0.5703617004241198,0.7864644918945121,0.81309697004576
asymmetric,25,0.5695758036769064,0.18283098787177765,0.5493889601170564,0.11511510314695424,0.6043966918781367,0.5704619213044926,0.7869455400811678,0.8136543330710321
none,26,0.6157471931896163,0.2002567591933764,0.5597003667808962,0.10387972521351305,0.6079895362145076,0.5698255601626641,0.7483374313609248,0.7827187520117045
static,26,0.5931330370795428,0.19204849210970198,0.5565623338465083,0.1090170396257846,0.6079895362145076,0.5703489783696863,0.7677904645601574,0.799955505748142
symmetric,26,0.5918943054709678,0.19159842109949596,0.5564718591138377,0.1093549042212963,0.6079895362145076,0.5702339266817522,0.7689832942838085,0.8012122034274523
asymmetric,26,0.5917188826877023,0.1915024453186801,0.5563135565024769,0.10930264884339198,0.6079895362145076,0.5702956457847836,0.7692090899796659,0.8015707894650579
none,27,0.6005824365043535,0.1960850784272901,0.5544684368192333,0.1122524033349783,0.5985673034207019,0.5577591519991609,0.7610123972568713,0.7904278533526267
static,27,0.5747223286919039,0.18607566737614836,0.5506011243137229,0.11726589735147601,0.5985673034207019,0.5604615215672186,0.7832358370790634,0.808729135571076
symmetric,27,0.5728556212683452,0.18541518136333143,0.5505082139891444,0.11765540548228458,0.5985673034207019,0.5602457157011999,0.7848059867957182,0.8103229905278229
asymmetric,27,0.5724029477761731,0.18524637260755358,0.5504350338881434,0.11768475630418061,0.5985673034207019,0.560163132574954,0.785227310447397,0.81087312639216
none,28,0.5977743763150819,0.19343783837707326,0.5526871307636542,0.10884720519179894,0.6017727085337364,0.5648620760349449,0.7655139396770871,0.7951018578564174
static,28,0.5718080044765875,0.184099356451661,0.5485303431258528,0.11464602436800303,0.6017727085337364,0.5670514532787074,0.7860921106856311,0.8125953826087917
symmetric,28,0.5700374080207629,0.18341097766148953,0.5483323814988282,0.11505049444993443,0.6017727085337364,0.5670119951131555,0.7875820201514667,0.813955325062035
asymmetric,28,0.5696427076492421,0.18326097795579196,0.5481835736241298,0.11506513372608279,0.6017727085337364,0.5670115650643349,0.7879833796613489,0.8144400491505801
none,29,0.602579092885257,0.19639616702125556,0.5495578948440105,0.10804070360762676,0.5992639678822349,0.5675621733458264,0.7581972502662504,0.7902182737824963
static,29,0.5782610796248105,0.187567378024267,0.5458674828722512,0.11299025893214225,0.5992639678822349,0.5689039902990093,0.7788088419658162,0.8085555202326387
symmetric,29,0.5761718794380853,0.18680937015000904,0.5454614989678311,0.11350423151355386,0.5992639678822349,0.5690354560074133,0.7805260604692048,0.8101180204400455
asymmetric,29,0.5756255625681594,0.18661302959113316,0.5453297396291527,0.1135720775355313,0.5992639678822349,0.5689794090834097,0.7810060613581353,0.8106771736853591
none,30,0.6154672257103688,0.1956754994244912,0.5508770614938708,0.09203596777358485,0.5940210972182626,0.5611220440665907,0.7615327723915554,0.7835560110905696
static,30,0.5927658461328148,0.18710016022910625,0.5474205572474691,0.09697194758083903,0.5940210972182626,0.5631911939977556,0.7803754855594276,0.7987365646188712
symmetric,30,0.5914317090587997,0.18664701637877815,0.5472868311089549,0.09728641393381052,0.5940210972182626,0.5630911711862059,0.781459518209002,0.7998303781761887
asymmetric,30,0.5912148536362133,0.18657114615820988,0.5471946036917644,0.09727995110424473,0.5940210972182626,0.5630365391292443,0.7816841627180238,0.800192544595029
none,31,0.6182614688232936,0.2013777413869543,0.5506269442575437,0.10274260942782465,0.5906341845731827,0.5554519757226521,0.7516080039151116,0.7775717858908153
static,31,0.5968507502100945,0.19308480666781694,0.5475510597810085,0.10705838855204144,0.5906341845731827,0.557225834737105,0.7708978212922915,0.7933049110494687
symmetric,31,0.595749173396412,0.19268286803061133,0.5474049488790043,0.10731794486439665,0.5906341845731827,0.5571990330913966,0.7719474286136127,0.7944725081427016
asymmetric,31,0.5950423696685125,0.19237429713973103,0.5472962804432693,0.10741377538974155,0.5906341845731827,0.5571054347906645,0.7726379566818189,0.7951394969467609
none,32,0.5863323120964831,0.19166960980608547,0.5455938238432038,0.11595312938160562,0.5952325373831134,0.56520658114246,0.7682922014271027,0.7965673238714941
static,32,0.565490535309884,0.1836452108971482,0.5428780642886357,0.11931074518278346,0.5952325373831134,0.566790698251275,0.786472469986195,0.8121171407642017
symmetric,32,0.5644231357837538,0.1831954667025147,0.5427909812801114,0.11942748264496378,0.5952325373831134,0.5667219072420201,0.7875465223269239,0.8131981384352543
asymmetric,32,0.5640534828021566,0.18305480111126268,0.542648717176867,0.11944107769638528,0.5952325373831134,0.5666848475530448,0.7879608310393835,0.813710835611654
none,33,0.6004505417532444,0.19602925867273568,0.5510920292273347,0.10969697493969394,0.593630053082891,0.554965153928692,0.7619084330055971,0.7910029858765415
static,33,0.5727931769526659,0.18563887878187404,0.547078480752128,0.11546487806887015,0.593630053082891,0.557326456437074,0.7853807230546491,0.810420250442763
symmetric,33,0.5710231320997683,0.18497333985293357,0.5469803343371649,0.11593908984611383,0.593630053082891,0.5572092732548962,0.7868780348820116,0.8118777385008573
asymmetric,33,0.5705568850273788,0.18479893125031385,0.5468506023459105,0.11599837256264076,0.593630053082891,0.5571615927799093,0.7873280035391351,0.8124687412903431
none,34,0.6044861363481687,0.19672932467723528,0.5540183042312833,0.10977147751340692,0.5957726948020114,0.554435506889481,0.7620733986614782,0.7894750183560548
static,34,0.5810765247622882,0.187877659046497,0.5510293622944323,0.11383981887747636,0.5957726948020114,0.5563915192204867,0.7818418876759914,0.8059148470629391
symmetric,34,0.5798044734036554,0.18739119909051669,0.5509232818812069,0.11414823097036847,0.5957726948020114,0.5563884727351934,0.7830225217567094,0.8070484886758496
asymmetric,34,0.5793283689184209,0.18722347137032477,0.5508051135283972,0.11423227748057124,0.5957726948020114,0.5563757697206052,0.7834188879290593,0.8076342428505718
none,35,0.6165059766162908,0.1979718402780922,0.5551130769569251,0.0993516545863084,0.600969686866161,0.5645056606084448,0.7565242011232587,0.7862214610665803
