reference,bootstrap,gain_reduction_rate,loss_reduction_rate,disposition_gap,gain_opportunities,loss_opportunities
asymmetric,28,0.7343857670863873,0.4981147781803937,0.23627098890599357,31926,40844
static,29,0.7223632927837487,0.4972220182588051,0.2251412745249436,33868,40857
symmetric,29,0.7274768033522897,0.495582718141111,0.2318940852111787,33410,41315
asymmetric,29,0.7312543905195321,0.49633193597560976,0.23492245454392235,32741,41984
static,30,0.7170149253731344,0.49142159914340494,0.22559332622972944,33500,40159
symmetric,30,0.7204203109815355,0.4918366845891336,0.22858362639240187,32928,40731
asymmetric,30,0.7237531384643997,0.49292236339919804,0.23083077506520167,32261,41398
static,31,0.7126044588381575,0.49013628133041076,0.22246817750774672,34583,41972
symmetric,31,0.7153891336270191,0.4906952123279614,0.22469392129905763,34050,42505
asymmetric,31,0.7197349086874382,0.4909970375856323,0.22873787110180588,33347,43208
static,32,0.7128800341192957,0.4986875328116797,0.21419250130761597,32826,40001
symmetric,32,0.7168853676652637,0.4982105393064297,0.21867482835883395,32312,40515
asymmetric,32,0.7202689054412321,0.4989427120044722,0.2213261934367599,31684,41143
static,33,0.7279444626523255,0.4806675520585361,0.24727691059378937,33563,39907
symmetric,33,0.7325323867601105,0.48060924732775434,0.2519231394323561,32961,40509
asymmetric,33,0.7358613217768147,0.48201141746629417,0.25384990431052057,32305,41165
static,34,0.7213548069830342,0.4906194508068044,0.2307353561762298,32536,38857
symmetric,34,0.724925769651508,0.49088786232803694,0.23403790732347107,31995,39398
asymmetric,34,0.7280819295558959,0.49222202801568077,0.23585990154021513,31344,40049
static,35,0.7216633954857704,0.5010158988164779,0.2206474966692925,32608,39374
symmetric,35,0.7248236248985453,0.5016521477921297,0.2231714771064156,32034,39948
asymmetric,35,0.7278311795785856,0.5027117641258259,0.2251194154527597,31418,40564
static,36,0.7133869604682462,0.509119579500657,0.20426738096758923,31949,38050
symmetric,36,0.7163420291697118,0.5092400332225914,0.20710199594712042,31471,38528
asymmetric,36,0.7203576519372813,0.5092637550790933,0.21109389685818802,30868,39131
static,37,0.7252359936251073,0.511570604821297,0.21366538880381025,32628,39367
symmetric,37,0.7287154592979835,0.5114026944981058,0.2173127647998777,32136,39859
asymmetric,37,0.7326330487766177,0.5117083292164806,0.22092471956013715,31511,40484
static,38,0.725310205115219,0.5102483978602829,0.21506180725493618,31592,37762
symmetric,38,0.7288784505501577,0.5102163461538461,0.2186621043963115,31082,38272
asymmetric,38,0.7332171740416858,0.5105557838504212,0.22266139019126463,30418,38936
static,39,0.7232429810199503,0.4926222754849824,0.23062070553496794,32982,40053
symmetric,39,0.7271829682196853,0.49272615384615387,0.23445681437353144,32410,40625
asymmetric,39,0.7301527318532515,0.49416182170542633,0.23599091014782514,31755,41280
static,40,0.71157219768919,0.48296160970287483,0.22861058798631517,33062,39411
symmetric,40,0.7151479690820066,0.483425,0.23172296908200662,32473,40000
asymmetric,40,0.7188618805351422,0.4841131156013881,0.23474876493375413,31842,40631
static,41,0.7179332225411693,0.49165714853255205,0.22627607400861727,33095,40274
symmetric,41,0.7218874884721795,0.4916378951492446,0.23024959332293493,32530,40839
asymmetric,41,0.7252854096098357,0.49261178739303363,0.23267362221680205,31884,41485
static,42,0.7216171770765459,0.4947111472742067,0.22690602980233926,32229,39328
symmetric,42,0.7260995772070423,0.494192609688182,0.2319069675188603,31694,39863
asymmetric,42,0.7298297557364914,0.49488686888647365,0.2349428868500178,31073,40484
static,43,0.7127812350406894,0.49237940218999704,0.22040183285069231,33424,40548
symmetric,43,0.7160925481134657,0.4925878143180546,0.22350473379541108,32891,41081
