method,method_label,seed,terminal_wealth,annualized_return,annualized_volatility,sharpe,max_drawdown,total_turnover,return_per_turnover,cumulative_fee,mean_cash,mean_effective_holdings,mean_max_stock_weight
symmetric,Symmetric CPT-PG,7,1.1333431192636438,0.09873450606028533,0.14521849594521638,0.7216988878490378,0.10933401339744442,11.315842886947106,0.011783754917404866,0.024820147686593262,0.014603049252308877,233.8298948750466,0.01129967358866223
static,Static CPT-PG,7,1.15641153657792,0.11551549748521595,0.1666481013303905,0.7401258230449099,0.1409649752551957,14.796426345357371,0.010570899548795221,0.033444015253743326,0.014391075798885287,209.628097330935,0.018360817582367864
expected,Expected-Wealth PG,7,1.04253545511948,0.031831131969993764,0.1391522212143328,0.2957493196512344,0.12699049038850918,9.077213414779926,0.004685959575459794,0.019383723636846678,0.01405146432129766,210.93219587640348,0.01101494043389609
exponential,Exponential-Utility PG,7,1.058890311471247,0.043984059480031146,0.14748605772834458,0.3666616164306688,0.13115781089762912,10.85344674192468,0.005425954802336246,0.023270069143668064,0.014051350819824573,198.27577156000015,0.01560901770500708
dynamic,DRCPT-PG,101,1.1386820475739978,0.10262574727537777,0.1968927474492179,0.5952222464841919,0.1468224772048352,13.25064512832131,0.010466060046962189,0.030194222291566132,0.013970451769212555,138.98148106820392,0.047804155954522566
symmetric,Symmetric CPT-PG,101,1.2271780551919251,0.16648654083515524,0.18100079205133887,0.9419927503332227,0.11417110562424759,14.452717582005663,0.015718708533734367,0.03349375313511003,0.015046962100810047,213.7101641251094,0.01756352732370942
static,Static CPT-PG,101,1.1833076771276414,0.1349766142428137,0.15494444556997217,0.8953103294091971,0.10551937593990524,11.737634816218474,0.015617088109979027,0.026547183107422115,0.014934516634702914,234.1987038623042,0.012687043072851283
expected,Expected-Wealth PG,101,1.17498050708521,0.12896318852830801,0.22820317653555616,0.6463545584265846,0.1668026482953645,15.580940670196881,0.011230419959169185,0.03311660767668293,0.014268550797423288,123.98530039073984,0.04804023164143373
exponential,Exponential-Utility PG,101,1.1319586641647517,0.0977247145617699,0.1490288459154601,0.7010587920293057,0.12045921547033311,9.711599369266446,0.013587737626652014,0.02143899037535691,0.014573457982674353,241.14567346300166,0.01089053060992438
dynamic,DRCPT-PG,2024,1.2264258907003303,0.16594867532647273,0.15752565265361906,1.0542595811207471,0.11247182042715143,12.937569622139016,0.01750142393922781,0.02836530207009408,0.014727922504495602,222.05087371443503,0.016131941208001467
symmetric,Symmetric CPT-PG,2024,1.0624333106633423,0.04661063491461204,0.13659847301699468,0.40241034275512017,0.11751393731976711,9.16170266856593,0.006814596906484737,0.019793206138755064,0.01439319043950758,212.53101584420006,0.014393633735165123
static,Static CPT-PG,2024,1.3183557196582127,0.23109958667248454,0.20807184354065558,1.1044754171968234,0.1562456557497467,15.362780871285393,0.020722532093994266,0.035267388805981834,0.013872692854383618,160.7258014690587,0.0350684551341688
expected,Expected-Wealth PG,2024,1.0781866023277376,0.058263076496054333,0.13713721150161945,0.4821808649919833,0.10944385911806997,10.506472652991315,0.00744175565959113,0.02289490200140349,0.014000072098155762,215.1787113787897,0.01386934940830627
exponential,Exponential-Utility PG,2024,1.2608927187906251,0.1905126143720861,0.1979961300517354,0.9808261941605356,0.1576164326861158,11.762714793874082,0.022179634834510804,0.0267087845240395,0.014564826968761926,218.9726274696796,0.0168028659973975
dynamic,DRCPT-PG,2025,1.1307412931564824,0.0968365377204865,0.14640803855640983,0.7050625618315719,0.10560289890489027,8.602336102197473,0.015198347472506273,0.018944153779234585,0.014061081104810812,165.12900986030732,0.03574191164041446
symmetric,Symmetric CPT-PG,2025,1.1779937857771152,0.13114042853223506,0.15014406230178615,0.8967678142148249,0.11642801958113547,9.466418865539781,0.01880265265094689,0.02126237767769327,0.014172213652341135,241.93618643210502,0.010795338539643354
static,Static CPT-PG,2025,1.5413136423484721,0.38464651947205764,0.34558297213819583,1.1150015462362561,0.3390585135162233,28.203487155023062,0.019193145846578896,0.06842402482883302,0.013023169215825236,84.34267811089093,0.1482611491765531
